text,language,category,text_clean,char_len,category_merged
হিট ছবিতে অভিনয় করেই উধাও! মানসিক অবসাদেই কি বিরতি নিতে বাধ্য হন বরুণ ধওয়ানের নায়িকা?,bengali,entertainment,হিট ছবিতে অভিনয় করেই উধাও! মানসিক অবসাদেই কি বিরতি নিতে বাধ্য হন বরুণ ধওয়ানের নায়িকা?,88,entertainment
"হিন্দি ছবির শুটিং দৃশ্য ফাঁস অব্যাহত! এ বারে শিকার কার্তিক, কী দেখা গেল?",bengali,entertainment,"হিন্দি ছবির শুটিং দৃশ্য ফাঁস অব্যাহত! এ বারে শিকার কার্তিক, কী দেখা গেল?",72,entertainment
"সেনার মধুচক্রের টোপ, পাকিস্তানি অভিনেত্রী সজল আলির ছিল বলিউডি যোগ",bengali,entertainment,"সেনার মধুচক্রের টোপ, পাকিস্তানি অভিনেত্রী সজল আলির ছিল বলিউডি যোগ",65,entertainment
‘দ্য কেরালা স্টোরি’ বাংলায় দেখাতে চাইলে মানতে হবে বিশেষ শর্ত! তবে আপস করতে নারাজ পরিচালক,bengali,entertainment,‘দ্য কেরালা স্টোরি’ বাংলায় দেখাতে চাইলে মানতে হবে বিশেষ শর্ত! তবে আপস করতে নারাজ পরিচালক,89,entertainment
"কারও ৭৪, কারও ৫৫, বয়স বাড়লেও বলিপাড়ার যে সব নায়িকার জেল্লা কমেনি",bengali,entertainment,"কারও ৭৪, কারও ৫৫, বয়স বাড়লেও বলিপাড়ার যে সব নায়িকার জেল্লা কমেনি",68,entertainment
রণবীরের দুই প্রাক্তনকেই ছাপিয়ে গেলেন আলিয়া! ‘গঙ্গুবাই’-এর সামনে এখন শুধু প্রিয়ঙ্কা,bengali,entertainment,রণবীরের দুই প্রাক্তনকেই ছাপিয়ে গেলেন আলিয়া! ‘গঙ্গুবাই’-এর সামনে এখন শুধু প্রিয়ঙ্কা,85,entertainment
"লাগাতার প্রাণনাশের হুমকি, সলমনের চারপাশে বন্দুক! মনের অবস্থা কী রকম? জানালেন অভিনেতা",bengali,entertainment,"লাগাতার প্রাণনাশের হুমকি, সলমনের চারপাশে বন্দুক! মনের অবস্থা কী রকম? জানালেন অভিনেতা",84,entertainment
"সলমনের ছবি থেকে বাদ পড়লেন করিনা, ‘বজরঙ্গি ভাইজান’-এর দ্বিতীয় পর্বে কোন দক্ষিণী অভিনেত্রী!",bengali,entertainment,"সলমনের ছবি থেকে বাদ পড়লেন করিনা, ‘বজরঙ্গি ভাইজান’-এর দ্বিতীয় পর্বে কোন দক্ষিণী অভিনেত্রী!",91,entertainment
পাঁচ বছরের প্রেম মুহূর্তের সিদ্ধান্তে শেষ! ববি-নীলমের সম্পর্ক ভাঙার নেপথ্যে ‘তৃতীয় ব্যক্তি’?,bengali,entertainment,পাঁচ বছরের প্রেম মুহূর্তের সিদ্ধান্তে শেষ! ববি-নীলমের সম্পর্ক ভাঙার নেপথ্যে ‘তৃতীয় ব্যক্তি’?,93,entertainment
ফের একদিনের রিমান্ডে পরীমনি,bengali,entertainment,ফের একদিনের রিমান্ডে পরীমনি,27,entertainment
অপু বিশ্বাসকে কোলে তুলেই মঞ্চে ধপাস নায়ক! ভিডিয়ো ফাঁস হতেই তুঙ্গে চর্চা,bengali,entertainment,অপু বিশ্বাসকে কোলে তুলেই মঞ্চে ধপাস নায়ক! ভিডিয়ো ফাঁস হতেই তুঙ্গে চর্চা,73,entertainment
ফেমাস  ইন্টারন্যাশনাল মডেল কম্পিটিশনে জিসানের পদক জয়,bengali,entertainment,ফেমাস ইন্টারন্যাশনাল মডেল কম্পিটিশনে জিসানের পদক জয়,52,entertainment
"সইফ ভয় পেত, আমিও যদি ‘দ্য ডার্টি পিকচার’-এর মতো ছবি করতে চাই: করিনা",bengali,entertainment,"সইফ ভয় পেত, আমিও যদি ‘দ্য ডার্টি পিকচার’-এর মতো ছবি করতে চাই: করিনা",68,entertainment
"উনি চুক্তিভঙ্গ করেছেন! কৌশিকের বিরুদ্ধে অভিযোগ টলিপাড়ার পরিচালকের, কী বললেন অভিনেতা?",bengali,entertainment,"উনি চুক্তিভঙ্গ করেছেন! কৌশিকের বিরুদ্ধে অভিযোগ টলিপাড়ার পরিচালকের, কী বললেন অভিনেতা?",85,entertainment
ভুলের পুনরাবৃত্তি করছেন প্রভাস? আর এক ‘আদিপুরুষ’কে বড় পর্দায় এনে ডুবে যাবে ‘প্রজেক্ট কে’?,bengali,entertainment,ভুলের পুনরাবৃত্তি করছেন প্রভাস? আর এক ‘আদিপুরুষ’কে বড় পর্দায় এনে ডুবে যাবে ‘প্রজেক্ট কে’?,91,entertainment
হেলিকপ্টারে চড়ে ছেলেকে কোথায় বেড়াতে নিয়ে গেলেন পরীমণি?,bengali,entertainment,হেলিকপ্টারে চড়ে ছেলেকে কোথায় বেড়াতে নিয়ে গেলেন পরীমণি?,58,entertainment
"জামাইষষ্ঠীতে মন ভাল নেই ঋদ্ধিমার, দেবলীনার বাড়িতে এলাহি আয়োজন",bengali,entertainment,"জামাইষষ্ঠীতে মন ভাল নেই ঋদ্ধিমার, দেবলীনার বাড়িতে এলাহি আয়োজন",63,entertainment
"আন্তর্জাতিক নজিরের পর আইপিএলের মঞ্চে অরিজিৎ, উদ্বোধনে কী চমক গায়কের?",bengali,entertainment,"আন্তর্জাতিক নজিরের পর আইপিএলের মঞ্চে অরিজিৎ, উদ্বোধনে কী চমক গায়কের?",69,entertainment
প্রাক্তনই কি এখন বর্তমান?  সুস্মিতার সঙ্গে ঘুরে বেড়ানো নিয়ে মুখ খুললেন রোহমান,bengali,entertainment,প্রাক্তনই কি এখন বর্তমান? সুস্মিতার সঙ্গে ঘুরে বেড়ানো নিয়ে মুখ খুললেন রোহমান,78,entertainment
লুকিয়ে লুকিয়ে মন্দাকিনীর ছবি দেখার জন্য কী পন্থা নিয়েছিলেন বিবাহিত পুরুষরা?,bengali,entertainment,লুকিয়ে লুকিয়ে মন্দাকিনীর ছবি দেখার জন্য কী পন্থা নিয়েছিলেন বিবাহিত পুরুষরা?,78,entertainment
চলে গেলেন কাওসার আহমেদ চৌধুরী,bengali,entertainment,চলে গেলেন কাওসার আহমেদ চৌধুরী,29,entertainment
"‘ছাইয়াঁ ছাইয়াঁ’ গান ধরেছিলেন, মঞ্চে উঠে রহমানের শো বন্ধ করল পুণে পুলিশ, উঠল নিন্দার ঝড়",bengali,entertainment,"‘ছাইয়াঁ ছাইয়াঁ’ গান ধরেছিলেন, মঞ্চে উঠে রহমানের শো বন্ধ করল পুণে পুলিশ, উঠল নিন্দার ঝড়",89,entertainment
ওমর সানী ডিম খেতে বারণ করলেন,bengali,entertainment,ওমর সানী ডিম খেতে বারণ করলেন,28,entertainment
কেউ কারও সঙ্গে কথা বলেননি শাকিব-বুবলী,bengali,entertainment,কেউ কারও সঙ্গে কথা বলেননি শাকিব-বুবলী,37,entertainment
ইলন মাস্ক টুইটার কেনার পর কেন অ্যাকাউন্ট ওড়ালেন প্রাক্তন প্রেমিকা অ্যাম্বার?,bengali,entertainment,ইলন মাস্ক টুইটার কেনার পর কেন অ্যাকাউন্ট ওড়ালেন প্রাক্তন প্রেমিকা অ্যাম্বার?,77,entertainment
"একই দিনে দু’টি ছবির মুক্তি ঋতুপর্ণার, সন্ধেবেলা কোনটির প্রিমিয়ারে দেখা যাবে তাঁকে",bengali,entertainment,"একই দিনে দু’টি ছবির মুক্তি ঋতুপর্ণার, সন্ধেবেলা কোনটির প্রিমিয়ারে দেখা যাবে তাঁকে",82,entertainment
‘ক্যাটরিনার কাজ চুরি’! কেন এমন অভিযোগ উঠল কিয়ারার বিরুদ্ধে?,bengali,entertainment,‘ক্যাটরিনার কাজ চুরি’! কেন এমন অভিযোগ উঠল কিয়ারার বিরুদ্ধে?,60,entertainment
"পঞ্জাব থেকে রাজস্থানের কচ্ছ, ভক্তদের ভিড়েই সংক্রান্তি উদ্‌যাপন ‘শেহজ়াদা’র",bengali,entertainment,"পঞ্জাব থেকে রাজস্থানের কচ্ছ, ভক্তদের ভিড়েই সংক্রান্তি উদ্যাপন ‘শেহজ়াদা’র",74,entertainment
মাত্র ১০ মিনিটের অনুষ্ঠানের জন্য অম্বানীদের থেকে কত টাকা হাঁকলেন মিকা?,bengali,entertainment,মাত্র ১০ মিনিটের অনুষ্ঠানের জন্য অম্বানীদের থেকে কত টাকা হাঁকলেন মিকা?,70,entertainment
ভারত-পাক সম্পর্কে শুধুই ঘৃণা? ‘গদর ২’-এর মঞ্চে ‘বেফাঁস’ রাজনৈতিক মন্তব্য সানি দেওলের,bengali,entertainment,ভারত-পাক সম্পর্কে শুধুই ঘৃণা? ‘গদর ২’-এর মঞ্চে ‘বেফাঁস’ রাজনৈতিক মন্তব্য সানি দেওলের,84,entertainment
মিনা পাল থেকে মিষ্টি মেয়ে কবরী,bengali,entertainment,মিনা পাল থেকে মিষ্টি মেয়ে কবরী,31,entertainment
ভারতে মুক্তি পাওয়া সব বিদেশি ছবির রেকর্ড ভেঙে দিল ‘অবতার ২’! বিশ্ব জুড়ে আয় কত?,bengali,entertainment,ভারতে মুক্তি পাওয়া সব বিদেশি ছবির রেকর্ড ভেঙে দিল ‘অবতার ২’! বিশ্ব জুড়ে আয় কত?,81,entertainment
"সম্পাদনা থেকে শুরু করে পরিচালনা, নতুন ছবির জন্য ‘জান’ দিয়ে দিলেন ‘ভাইজান’?",bengali,entertainment,"সম্পাদনা থেকে শুরু করে পরিচালনা, নতুন ছবির জন্য ‘জান’ দিয়ে দিলেন ‘ভাইজান’?",75,entertainment
"তারকা হয়েও ব্যাঙ্ক অ্যাকাউন্টে ছিল মাত্র চার হাজার টাকা, কী এমন হয়েছিল মহেশ-কন্যার?",bengali,entertainment,"তারকা হয়েও ব্যাঙ্ক অ্যাকাউন্টে ছিল মাত্র চার হাজার টাকা, কী এমন হয়েছিল মহেশ-কন্যার?",85,entertainment
"সংসার পেতেই কাজে ফেরায় মন, অভিনয়জীবনের ফর্দ সাজিয়ে কাজ চাইলেন আশিস বিদ্যার্থী",bengali,entertainment,"সংসার পেতেই কাজে ফেরায় মন, অভিনয়জীবনের ফর্দ সাজিয়ে কাজ চাইলেন আশিস বিদ্যার্থী",80,entertainment
"নেই ওয়াইনের উল্লাস, নেই কোনও জন্মদিনের পার্টি! গুরুতর অসুস্থ হয়ে শয্যাশায়ী শ্রীলেখা",bengali,entertainment,"নেই ওয়াইনের উল্লাস, নেই কোনও জন্মদিনের পার্টি! গুরুতর অসুস্থ হয়ে শয্যাশায়ী শ্রীলেখা",86,entertainment
"পুরুষদের অন্তর্বাসের  বিজ্ঞাপনে বিতর্ক, এখন হিজাব পরেন, অভিনয় থেকে দূরেই সানা",bengali,entertainment,"পুরুষদের অন্তর্বাসের বিজ্ঞাপনে বিতর্ক, এখন হিজাব পরেন, অভিনয় থেকে দূরেই সানা",77,entertainment
"জন্মদিনে শহরে নেই জ্যাসমিন, বিশেষ দিনটি কোথায় পালন করেছেন অভিনেত্রী?",bengali,entertainment,"জন্মদিনে শহরে নেই জ্যাসমিন, বিশেষ দিনটি কোথায় পালন করেছেন অভিনেত্রী?",69,entertainment
মাঝ পথেই বন্ধ ‘পুষ্পা ২’-এর শুটিং! ফের কেন ধাক্কা খেলেন অল্লু অর্জুন?,bengali,entertainment,মাঝ পথেই বন্ধ ‘পুষ্পা ২’-এর শুটিং! ফের কেন ধাক্কা খেলেন অল্লু অর্জুন?,69,entertainment
"‘ফ্যামিলি ম্যান’, ‘ফরজ়ি’ই শেষ নয়! রাজ এবং ডিকে-র হাতে রয়েছে আরও পাঁচটি ব্রহ্মাস্ত্র!",bengali,entertainment,"‘ফ্যামিলি ম্যান’, ‘ফরজ়ি’ই শেষ নয়! রাজ এবং ডিকে-র হাতে রয়েছে আরও পাঁচটি ব্রহ্মাস্ত্র!",87,entertainment
নাক কাটলেন সারা আলী!,bengali,entertainment,নাক কাটলেন সারা আলী!,20,entertainment
"আইনি জটে জর্জরিত নওয়াজ়, আরও মামলা দায়েরের হুমকি স্ত্রী আলিয়ার",bengali,entertainment,"আইনি জটে জর্জরিত নওয়াজ়, আরও মামলা দায়েরের হুমকি স্ত্রী আলিয়ার",65,entertainment
প্রথম প্রযোজিত ছবি ‘মির্জা’ কি বিশ বাঁও জলে? টলিপাড়ার গুঞ্জনের উত্তর দিলেন অঙ্কুশ,bengali,entertainment,প্রথম প্রযোজিত ছবি ‘মির্জা’ কি বিশ বাঁও জলে? টলিপাড়ার গুঞ্জনের উত্তর দিলেন অঙ্কুশ,82,entertainment
"সাইক্লোনে ভেঙ্গে গেছে সালমানের শুটিং সেট, ক্ষতি ১০ কোটি",bengali,entertainment,"সাইক্লোনে ভেঙ্গে গেছে সালমানের শুটিং সেট, ক্ষতি ১০ কোটি",55,entertainment
চিকিৎসকের ডাকে সাড়া দিচ্ছেন ফারুক,bengali,entertainment,চিকিৎসকের ডাকে সাড়া দিচ্ছেন ফারুক,34,entertainment
আমাদের বিচারে ২০২২ সালের বাংলা সিরিয়ালের ৫ নজরকাড়া নতুন তারা,bengali,entertainment,আমাদের বিচারে ২০২২ সালের বাংলা সিরিয়ালের ৫ নজরকাড়া নতুন তারা,62,entertainment
ফের মা হলেন কারিনা কাপুর,bengali,entertainment,ফের মা হলেন কারিনা কাপুর,24,entertainment
পর্দায় দাদাগিরি দেখাবেন আয়ুষ্মান! সৌরভের জীবনীচিত্র নিয়ে মুখ খুললেন অভিনেতা,bengali,entertainment,পর্দায় দাদাগিরি দেখাবেন আয়ুষ্মান! সৌরভের জীবনীচিত্র নিয়ে মুখ খুললেন অভিনেতা,78,entertainment
"পর্দায় উদ্দাম শরীর প্রদর্শন, গোদার ছুঁয়ে গেলেন ওড়িশার গ্রাম!",bengali,entertainment,"পর্দায় উদ্দাম শরীর প্রদর্শন, গোদার ছুঁয়ে গেলেন ওড়িশার গ্রাম!",63,entertainment
‘বিগ বস’-এ ক্যামেরার সামনেই ধূমপান! সাজিদের উপর ভীষণ চটে গেলেন সলমন,bengali,entertainment,‘বিগ বস’-এ ক্যামেরার সামনেই ধূমপান! সাজিদের উপর ভীষণ চটে গেলেন সলমন,67,entertainment
"আট মাসের মাথায় বন্ধ হচ্ছে ‘পঞ্চমী’, সিরিয়ালের শেষ দিনের শুটিং সেরে কী বললেন সুস্মিতা?",bengali,entertainment,"আট মাসের মাথায় বন্ধ হচ্ছে ‘পঞ্চমী’, সিরিয়ালের শেষ দিনের শুটিং সেরে কী বললেন সুস্মিতা?",87,entertainment
"‘দ্য কাশ্মীর ফাইলস’কে  অশ্লীল বলায় পাল্টা  বিবেক-অনুপমের,  ‘নিজস্ব মতামত’, জবাব ইফির",bengali,entertainment,"‘দ্য কাশ্মীর ফাইলস’কে অশ্লীল বলায় পাল্টা বিবেক-অনুপমের, ‘নিজস্ব মতামত’, জবাব ইফির",82,entertainment
"১৬ বছর আগে বলিউডে প্রথম ১০০ কোটির ব্যবসা করতে পারত শাহরুখ-দীপিকার ছবি, দাবি পরিচালকের",bengali,entertainment,"১৬ বছর আগে বলিউডে প্রথম ১০০ কোটির ব্যবসা করতে পারত শাহরুখ-দীপিকার ছবি, দাবি পরিচালকের",85,entertainment
সংসার ভাঙার গুজব ভিত্তিহীন : মিথিলা,bengali,entertainment,সংসার ভাঙার গুজব ভিত্তিহীন : মিথিলা,35,entertainment
অভিনেত্রী পল্লবীর মৃত্যুরহস্য: ময়নাতদন্তে যা মিলল,bengali,entertainment,অভিনেত্রী পল্লবীর মৃত্যুরহস্য: ময়নাতদন্তে যা মিলল,50,entertainment
"সান বাংলার নতুন সিরিয়ালে হানি বাফনা, জল্পনা শুরু! কী উত্তর দিলেন অভিনেতা?",bengali,entertainment,"সান বাংলার নতুন সিরিয়ালে হানি বাফনা, জল্পনা শুরু! কী উত্তর দিলেন অভিনেতা?",74,entertainment
টেলিভিশনে ঈদের বিশেষ আয়োজন,bengali,entertainment,টেলিভিশনে ঈদের বিশেষ আয়োজন,27,entertainment
"‘স্মৃতিশক্তি বাড়ানোর ওষুধ খাও’, ‘চোখ মারা’ প্রিয়ার উপর কেন খেপে গেলেন পরিচালক?",bengali,entertainment,"‘স্মৃতিশক্তি বাড়ানোর ওষুধ খাও’, ‘চোখ মারা’ প্রিয়ার উপর কেন খেপে গেলেন পরিচালক?",80,entertainment
কেউ পেলেন ১২৫ কোটি কেউ মাত্র ২০ লক্ষ! সলমনের নতুন ছবি থেকে কত আয় করলেন তারকারা?,bengali,entertainment,কেউ পেলেন ১২৫ কোটি কেউ মাত্র ২০ লক্ষ! সলমনের নতুন ছবি থেকে কত আয় করলেন তারকারা?,80,entertainment
"যোগীর পা ছুঁয়ে প্রণাম রজনীকান্তের, সমালোচনা ঝড় নেটপাড়ায়",bengali,entertainment,"যোগীর পা ছুঁয়ে প্রণাম রজনীকান্তের, সমালোচনা ঝড় নেটপাড়ায়",59,entertainment
